shot	RMS-amp
67179	0.05364098399877548
67180	0.058719076216220856
67181	0.05493220314383507
67182	0.06834053993225098
67183	0.05708128586411476
67184	0.06592940539121628
67185	0.05712124705314636
67186	0.06437930464744568
67187	0.07241691648960114
67188	0.06944707036018372
67189	0.06692889332771301
67190	0.06884407997131348
67191	0.0632728561758995
67192	0.06768260896205902
67193	0.06851450353860855
67194	0.06966697424650192
67195	0.06563453376293182
67196	0.06674664467573166
67197	0.060189053416252136
67198	0.06618662923574448
